index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], power.draw [W]
0, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.12 W
1, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 12.17 W
2, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 7.49 W
3, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.99 W
1787996879,0, 17548, 58, 276.29;1, 17042, 62, 301.57;2, 17042, 70, 262.44;3, 17042, 53, 282.55
1787996884,0, 31370, 67, 298.17;1, 30866, 63, 299.84;2, 30874, 70, 286.44;3, 30864, 69, 305.54
1787996889,0, 17228, 0, 98.94;1, 16722, 100, 116.58;2, 16718, 0, 89.08;3, 16722, 100, 115.46
1787996894,0, 31372, 66, 306.09;1, 30864, 63, 295.99;2, 30874, 68, 282.70;3, 30864, 68, 305.20
1787996899,0, 31372, 68, 332.08;1, 30864, 65, 305.90;2, 30874, 70, 287.14;3, 30864, 69, 341.27
1787996904,0, 17230, 0, 70.18;1, 16722, 100, 121.72;2, 16718, 100, 104.07;3, 16722, 100, 118.32
1787996909,0, 17230, 0, 69.31;1, 16722, 100, 121.05;2, 16718, 100, 103.41;3, 16722, 100, 117.69
1787996914,0, 17578, 79, 300.39;1, 17072, 61, 303.87;2, 17068, 73, 284.46;3, 17072, 76, 309.47
1787996919,0, 31370, 67, 293.27;1, 30864, 63, 328.97;2, 30874, 68, 314.49;3, 30864, 68, 333.22
1787996924,0, 17198, 30, 188.61;1, 16692, 0, 168.79;2, 16690, 84, 146.44;3, 16692, 100, 155.82
1787996929,0, 31370, 67, 292.50;1, 30864, 63, 298.96;2, 30874, 66, 280.05;3, 30864, 66, 302.36
1787996935,0, 31370, 70, 306.21;1, 30864, 66, 305.94;2, 15828, 100, 107.19;3, 30864, 70, 309.80
1787996940,0, 17550, 61, 227.41;1, 17040, 59, 199.88;2, 16718, 72, 204.57;3, 17040, 51, 174.81
1787996945,0, 31370, 66, 295.11;1, 30866, 64, 300.37;2, 30874, 68, 284.39;3, 30864, 69, 306.26
1787996950,0, 17244, 69, 246.59;1, 16738, 66, 305.90;2, 16736, 81, 207.24;3, 16738, 100, 230.65
1787996955,0, 17244, 0, 69.40;1, 16738, 0, 74.75;2, 16736, 0, 70.87;3, 16738, 100, 118.23
1787996960,0, 31370, 66, 288.23;1, 30866, 63, 295.84;2, 30876, 67, 287.91;3, 30864, 67, 319.40
1787996965,0, 31370, 68, 329.22;1, 15820, 100, 122.82;2, 15830, 100, 106.65;3, 30864, 70, 310.01
1787996970,0, 31370, 66, 280.03;1, 30864, 99, 272.62;2, 30876, 58, 235.33;3, 30864, 18, 288.60
1787996975,0, 31370, 68, 332.37;1, 30864, 64, 330.45;2, 15828, 100, 105.92;3, 30864, 68, 341.41
1787996980,0, 17598, 78, 331.30;1, 17092, 64, 338.28;2, 16158, 65, 171.03;3, 17092, 76, 336.45
1787996985,0, 31370, 69, 298.89;1, 30864, 63, 327.63;2, 30876, 68, 282.04;3, 30864, 69, 339.24
1787996990,0, 17516, 100, 204.96;1, 17022, 66, 275.37;2, 17012, 85, 173.39;3, 17014, 72, 188.42
1787996995,0, 31370, 67, 293.10;1, 30864, 63, 318.58;2, 30874, 68, 281.94;3, 30864, 68, 303.73
1787997001,0, 16324, 69, 333.70;1, 30864, 65, 334.37;2, 15828, 71, 287.31;3, 15818, 71, 313.50
1787997006,0, 31370, 66, 295.67;1, 30864, 63, 327.08;2, 30874, 68, 291.54;3, 30864, 68, 319.50
1787997011,0, 31370, 70, 303.04;1, 30864, 65, 335.77;2, 30874, 71, 289.18;3, 30864, 71, 312.96
1787997016,0, 17576, 71, 320.58;1, 17070, 71, 297.42;2, 17066, 66, 311.45;3, 17070, 69, 330.35
1787997021,0, 31370, 66, 319.27;1, 30866, 63, 330.29;2, 15828, 68, 312.69;3, 30864, 68, 337.31
1787997026,0, 17064, 37, 197.01;1, 16540, 39, 216.00;2, 16492, 54, 187.92;3, 16760, 43, 246.82
1787997031,0, 31370, 68, 327.93;1, 30864, 66, 304.69;2, 30874, 69, 313.38;3, 30864, 70, 340.14
1787997036,0, 17444, 74, 139.11;1, 16938, 0, 102.57;2, 16936, 100, 100.05;3, 16938, 0, 105.19
1787997041,0, 31370, 67, 294.08;1, 30864, 63, 296.36;2, 30874, 67, 278.30;3, 30864, 67, 301.54
1787997046,0, 31370, 69, 306.77;1, 30864, 66, 317.13;2, 26982, 70, 286.24;3, 15818, 62, 308.48
